t_s,stage,q_rad,dq_rad_s,tau_Nm,q_ref_rad,dq_ref_rad_s,dq_filt_rad_s
0.415714,to_zero_prehold,2.906516790,-0.220893756,-0.003906250,2.906708717,0.000000000,-0.2164964052
0.420694,to_zero_prehold,2.906516790,-0.269981235,0.003906250,2.906708717,0.000000000,-0.1875072995
0.425694,to_zero_prehold,2.906708717,0.122718751,-0.003906250,2.906708717,0.000000000,-0.1385289265
0.430696,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000,-0.1528693414
0.436231,to_zero_prehold,2.906325102,-0.564506233,0.000000000,2.906708717,0.000000000,-0.2221068676
0.440695,to_zero_prehold,2.906516790,-0.343612492,-0.003906250,2.906708717,0.000000000,-0.2083568129
0.445759,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1618247418
0.450697,to_zero_prehold,2.906708717,0.122718751,-0.007812500,2.906708717,0.000000000,-0.09502738561
0.455696,to_zero_prehold,2.906708717,0.122718751,-0.003906250,2.906708717,0.000000000,-0.08100531738
0.460695,to_zero_prehold,2.906516790,-0.343612492,-0.003906250,2.906708717,0.000000000,-0.1163599984
0.465737,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000,-0.09663532875
0.470695,to_zero_prehold,2.906516790,-0.220893756,0.000000000,2.906708717,0.000000000,-0.1360243514
0.475698,to_zero_prehold,2.906516790,-0.319068760,0.000000000,2.906708717,0.000000000,-0.1548435152
0.480699,to_zero_prehold,2.906516790,-0.319068760,0.000000000,2.906708717,0.000000000,-0.1338592882
0.485790,to_zero_prehold,2.906708717,0.122718751,-0.003906250,2.906708717,0.000000000,-0.06798570805
0.490695,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000,-0.04833330503
0.495694,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.07608759795
0.500700,to_zero_prehold,2.906708717,0.098174997,-0.003906250,2.906708717,0.000000000,-0.06279643238
0.505764,to_zero_prehold,2.906708717,0.073631249,-0.003906250,2.906708717,0.000000000,-0.08852002812
0.510712,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.1535443457
0.515726,to_zero_prehold,2.906516790,-0.196349993,0.000000000,2.906708717,0.000000000,-0.1962964526
0.520704,to_zero_prehold,2.906516790,-0.294524997,0.000000000,2.906708717,0.000000000,-0.2390355828
0.525703,to_zero_prehold,2.906325102,-0.589049995,-0.003906250,2.906708717,0.000000000,-0.2683257037
0.530702,to_zero_prehold,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000,-0.2198816471
0.535694,to_zero_prehold,2.906516790,-0.269981235,-0.003906250,2.906708717,0.000000000,-0.1652435992
0.540695,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000,-0.08522021513
0.545696,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000,-0.06154383395
0.550716,to_zero_prehold,2.906516790,-0.269981235,0.003906250,2.906708717,0.000000000,-0.08252730824
0.555706,to_zero_prehold,2.906516790,-0.098174997,0.000000000,2.906708717,0.000000000,-0.05807743925
0.560711,to_zero_prehold,2.906708717,0.000000000,-0.003906250,2.906708717,0.000000000,-0.0239090963
0.565709,to_zero_prehold,2.906708717,0.147262499,0.000000000,2.906708717,0.000000000,0.00446438175
0.570736,to_zero_prehold,2.906708717,0.098174997,-0.003906250,2.906708717,0.000000000,-0.00177222275
0.575696,to_zero_prehold,2.906516790,-0.171806246,0.003906250,2.906708717,0.000000000,-0.03223310691
