t_s,stage,q_rad,dq_rad_s,tau_Nm,q_ref_rad,dq_ref_rad_s
0.950650,to_zero_prehold,2.906516790,-0.196349993,-0.003906250,2.906708717,0.000000000
0.955655,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.960652,to_zero_prehold,2.906708717,0.098174997,0.000000000,2.906708717,0.000000000
0.965731,to_zero_prehold,2.906708717,-0.368156254,0.000000000,2.906708717,0.000000000
0.970687,to_zero_prehold,2.906516790,-0.294524997,0.000000000,2.906708717,0.000000000
0.975655,to_zero_prehold,2.906325102,0.024543749,0.000000000,2.906708717,0.000000000
0.980652,to_zero_prehold,2.906708717,0.122718751,0.000000000,2.906708717,0.000000000
0.985653,to_zero_prehold,2.906708717,0.073631249,0.000000000,2.906708717,0.000000000
0.990652,to_zero_prehold,2.906708717,0.122718751,0.003906250,2.906708717,0.000000000
0.995652,to_zero_prehold,2.906516790,-0.294524997,0.000000000,2.906708717,0.000000000
1.000652,to_zero,2.906516790,-0.245437503,0.000000000,2.906708717,0.000000000
1.005633,to_zero,2.906516790,-0.245437503,0.000000000,2.906674704,0.000000000
1.010650,to_zero,2.906516790,-0.220893756,-0.003906250,2.906572667,0.000000000
1.015632,to_zero,2.906516790,-0.220893756,0.000000000,2.906402611,0.000000000
1.020699,to_zero,2.906516790,-0.171806246,-0.003906250,2.906164542,0.000000000
1.025690,to_zero,2.906516790,-0.196349993,-0.003906250,2.905858474,0.000000000
1.030634,to_zero,2.906516790,-0.171806246,-0.007812500,2.905484419,0.000000000
1.035678,to_zero,2.906516790,-0.220893756,-0.003906250,2.905042396,0.000000000
1.040646,to_zero,2.906708717,0.122718751,-0.007812500,2.904532425,0.000000000
1.045636,to_zero,2.906516790,-0.245437503,-0.011718750,2.903954530,0.000000000
1.050644,to_zero,2.906325102,-0.441787511,-0.007812500,2.903308738,0.000000000
1.055638,to_zero,2.906516790,0.000000000,-0.011718750,2.902595080,0.000000000
1.060637,to_zero,2.906325102,-0.319068760,-0.007812500,2.901813588,0.000000000
1.065733,to_zero,2.906516790,0.122718751,-0.011718750,2.900964299,0.000000000
1.070660,to_zero,2.906516790,0.098174997,-0.019531250,2.900047253,0.000000000
1.075645,to_zero,2.906325102,-0.171806246,-0.003906250,2.899062494,0.000000000
1.080630,to_zero,2.906325102,-0.196349993,-0.011718750,2.898010066,0.000000000
1.085647,to_zero,2.906325102,0.049087498,-0.011718750,2.896890020,0.000000000
1.090636,to_zero,2.906325102,0.122718751,-0.011718750,2.895702407,0.000000000
1.095707,to_zero,2.906133413,-0.245437503,-0.019531250,2.894447284,0.000000000
1.100634,to_zero,2.906133413,0.000000000,-0.023437500,2.893124708,0.000000000
1.105710,to_zero,2.906133413,0.000000000,-0.027343750,2.891734743,0.000000000
1.110634,to_zero,2.905941725,-0.196349993,-0.027343750,2.890277453,0.000000000
1.115633,to_zero,2.905749798,-0.147262499,-0.027343750,2.888752906,0.000000000
1.120635,to_zero,2.905366421,-0.368156254,-0.027343750,2.887161174,0.000000000
1.125632,to_zero,2.905366421,-0.098174997,-0.035156250,2.885502330,0.000000000
1.130628,to_zero,2.904791117,-0.539962471,-0.039062500,2.883776454,0.000000000
1.135626,to_zero,2.904599428,-0.539962471,-0.042968750,2.881983625,0.000000000
1.140637,to_zero,2.904215813,-0.441787511,-0.042968750,2.880123927,0.000000000
1.145629,to_zero,2.904215813,0.147262499,-0.050781250,2.878197448,0.000000000
1.150631,to_zero,2.903640747,-0.098174997,-0.054687500,2.876204277,0.000000000
1.155633,to_zero,2.902873755,-0.417243749,-0.054687500,2.874144509,0.000000000
1.160628,to_zero,2.902298450,-0.343612492,-0.054687500,2.872018239,0.000000000
1.165712,to_zero,2.901723146,-0.417243749,-0.054687500,2.869825566,0.000000000
1.170695,to_zero,2.900956154,-0.220893756,-0.066406250,2.867566595,0.000000000
1.175641,to_zero,2.899997473,-0.466331244,-0.058593750,2.865241429,0.000000000
1.180635,to_zero,2.898655176,-0.711768746,-0.066406250,2.862850178,0.000000000
1.185631,to_zero,2.897312880,-0.564506233,-0.066406250,2.860392955,0.000000000
1.190633,to_zero,2.895395517,-0.515418768,-0.066406250,2.857869874,0.000000000
1.195632,to_zero,2.892902851,-0.490875006,-0.066406250,2.855281052,0.000000000
1.200628,to_zero,2.889834881,-0.515418768,-0.058593750,2.852626612,0.000000000
1.205671,to_zero,2.885616302,-0.834487498,-0.066406250,2.849906678,0.000000000
1.210635,to_zero,2.882548332,-0.515418768,-0.058593750,2.847121376,0.000000000
